MNEMONIC,OPCODE,/d,+r,EQIV,KeepOV,Op1_t,Op2_t,Imm3,Read1,Read2,R1->1,R2->2,R2->reg,Scale_OV,Out_reg,Imm_val
IDIV,F7,7,,IDIV,1,A,r/m,,1,1,1,,1,1,D,
IMUL,F6,5,,IMUL,,AX,r/m8,,1,1,1,,,,,
IMUL,F7,5,,IMUL,1,A,r/m,,1,1,1,,1,1,D,
IMUL,0FAF,,,IMUL,1,r,r/m,,1,1,1,,,,,
IMUL,6B,,,IMUL,1,r,r/m,imm32,1,1,1,,,,,
IMUL,69,,,IMUL,1,r,r/m,imm,1,1,1,,,,,
IN,E4,,,IN,,AL,imm8,,,1,1,,,,,
IN,E5,,,IN,1,A,imm8,,,1,1,,,,,
IN,EC,,,IN,,AL,DX,,,1,1,,,,,
IN,ED,,,IN,1,A,DX,,,1,1,,,,,
INC,FE,0,,INC,,r/m8,,,1,,1,,,,,
INC,FF,0,,INC,1,r/m,,,1,,1,,,,,
INC,40,,1,INC,1,r,,,1,,1,,,,,
INS,6C,,,INS,,r/m8,DX,,1,1,1,,,,,
INS,6D,,,INS,1,r/m,DX,,1,1,1,,,,,
INT,CC,,,INT,,cst,,,1,,,,,,,11
INT,CD,,,INT,,imm8,,,1,,,,,,,
INTO,CE,,,INT,,cst,,,1,,,,,,,100
IRET,CF,,,IRET,,,,,,,,,,,,
JO,70,,,Jcc,,rel,,,1,,,,,,,
JNO,71,,,Jcc,,rel,,,1,,,,,,,
JC,72,,,Jcc,,rel,,,1,,,,,,,
JNC,73,,,Jcc,,rel,,,1,,,,,,,
JZ,74,,,Jcc,,rel,,,1,,,,,,,
JNZ,75,,,Jcc,,rel,,,1,,,,,,,
JNA,76,,,Jcc,,rel,,,1,,,,,,,
